Date,Open,High,Low,Close,Volume,High-low,Open-close
02-01-2017,474.95,488.5,469.2,487.25,415721,19.3,-12.3
03-01-2017,491,492.75,479.45,481.25,823203,13.3,9.75
04-01-2017,485,493.6,484.6,486.5,414780,9,-1.5
05-01-2017,496.1,503.2,495,501.95,539024,8.2,-5.85
06-01-2017,506,507.85,496.4,497.8,451099,11.45,8.2
09-01-2017,500.1,504.45,492.55,500.35,391675,11.9,-0.25
10-01-2017,505.7,516.55,505.1,515.3,767765,11.45,-9.6
11-01-2017,518.2,525,517.3,518.9,375665,7.7,-0.7
12-01-2017,519.05,524,513.25,518.35,378656,10.75,0.7
13-01-2017,520.1,523.5,507.4,514.65,393121,16.1,5.45
16-01-2017,517.2,529.2,517.2,526.55,473428,12,-9.35
17-01-2017,527.05,530.65,521,523.25,398811,9.65,3.8
18-01-2017,524.9,529.6,521.5,523.15,1689922,8.1,1.75
19-01-2017,523.15,535,523.15,530.7,446639,11.85,-7.55
20-01-2017,529,529.2,521.75,523.15,169627,7.45,5.85
23-01-2017,522,534.55,522,532.15,263311,12.55,-10.15
24-01-2017,533,542.85,532.6,541.4,449551,10.25,-8.4
25-01-2017,542.1,550,541.7,548,245448,8.3,-5.9
27-01-2017,552.45,553,539.9,544.35,575424,13.1,8.1
30-01-2017,542,543.2,530.85,532.5,182094,12.35,9.5
31-01-2017,531.5,531.5,518,523.6,285965,13.5,7.9
01-02-2017,525.55,544.8,523,541.7,308726,21.8,-16.15
02-02-2017,541.9,541.9,527.05,530.85,1405061,14.85,11.05
03-02-2017,534.4,534.4,520,522.5,322716,14.4,11.9
06-02-2017,524.5,531.35,523.7,525.3,228656,7.65,-0.8
07-02-2017,527.8,527.8,501.95,506.8,726816,25.85,21
08-02-2017,510.2,515,507,513,355443,8,-2.8
09-02-2017,517.7,518.15,506.15,512.8,379479,12,4.9
10-02-2017,512.5,514.7,506.6,509.4,345699,8.1,3.1
13-02-2017,512,513,503.8,505.4,507,9.2,6.6
14-02-2017,503.85,506.4,468.3,486.8,1242271,38.1,17.05
15-02-2017,449,453.25,435,436.55,3628635,18.25,12.45
16-02-2017,442,447.75,436,445.9,968146,11.75,-3.9
17-02-2017,448.9,456.8,442.75,452.7,926504,14.05,-3.8
20-02-2017,452,458.25,449.45,455.5,533916,8.8,-3.5
21-02-2017,458,462.75,454.7,458.95,648219,8.05,-0.95
22-02-2017,461,466.7,456.65,460.15,653447,10.05,0.85
23-02-2017,464,464.9,457.65,462,559233,7.25,2
27-02-2017,465,465,455.1,457.3,709474,9.9,7.7
28-02-2017,459.7,459.7,454.1,456.15,252303,5.6,3.55
01-03-2017,457.5,457.5,448,449.1,467953,9.5,8.4
02-03-2017,458.8,467.9,453.3,461.05,1049729,14.6,-2.25
03-03-2017,463,467,458.7,460.1,420227,8.3,2.9
06-03-2017,462,472.3,462,470.7,489685,10.3,-8.7
07-03-2017,470.7,475.8,465.5,467.1,507504,10.3,3.6
08-03-2017,470,470,461.4,462.65,338660,8.6,7.35
09-03-2017,462.6,469.8,461.5,467.6,338535,8.3,-5
10-03-2017,472,472,465.3,468.95,407708,6.7,3.05
14-03-2017,480,482.5,468.7,469.65,662834,13.8,10.35
15-03-2017,474.25,476.5,470.65,473.35,476602,5.85,0.9
16-03-2017,476.9,481.5,476.15,480.4,1833905,5.35,-3.5
17-03-2017,482.6,484.3,472.4,476.35,314915,11.9,6.25
20-03-2017,477.4,478.2,471.3,476.05,281741,6.9,1.35
21-03-2017,476,477.35,470.7,473.35,206191,6.65,2.65
22-03-2017,471,471,458.6,459.9,427596,12.4,11.1
23-03-2017,460.7,475.9,460.7,471.8,449713,15.2,-11.1
24-03-2017,472,474.7,467.65,470.5,313779,7.05,1.5
27-03-2017,470,470,462.4,465.5,941186,7.6,4.5
28-03-2017,469.9,473.1,468,472.4,195210,5.1,-2.5
29-03-2017,475,475,463.75,469.1,504661,11.25,5.9
30-03-2017,464.7,469.7,463,468.4,672046,6.7,-3.7
31-03-2017,467,472.5,464.1,465.95,797627,8.4,1.05
03-04-2017,469,472.25,467.75,470.45,396149,4.5,-1.45
05-04-2017,473,474.95,467.15,473.55,472,7.8,-0.55
06-04-2017,474.4,478.75,470.7,473.05,474,8.05,1.35
07-04-2017,469.8,480,466.55,468,473,13.45,1.8
10-04-2017,470,478.15,468,475.05,520240,10.15,-5.05
11-04-2017,477,478.45,471.4,472.75,594211,7.05,4.25
12-04-2017,471.9,471.9,462.05,465.2,381031,9.85,6.7
13-04-2017,469.35,469.35,451.2,452.95,663863,18.15,16.4
17-04-2017,452.9,455.7,447.35,449.5,423227,8.35,3.4
18-04-2017,450,455.8,442.5,444.1,428133,13.3,5.9
19-04-2017,445,449.1,438.2,443.55,589375,10.9,1.45
20-04-2017,447.9,447.9,442.5,444,440999,5.4,3.9
21-04-2017,447.5,447.95,437,440.4,689180,10.95,7.1
24-04-2017,440.7,449,439.05,445.1,502136,9.95,-4.4
25-04-2017,447.8,447.8,443.5,445.6,307085,4.3,2.2
26-04-2017,448.7,454.4,445.6,450.8,903160,8.8,-2.1
27-04-2017,453,461.3,453,455.95,522463,8.3,-2.95
28-04-2017,458.9,461.45,454.8,457.8,368672,6.65,1.1
02-05-2017,457.8,457.8,448.9,451.65,381141,8.9,6.15
03-05-2017,452.8,456.35,444.6,446.65,339662,11.75,6.15
04-05-2017,447,448.8,435.35,436.5,514416,13.45,10.5
05-05-2017,436.7,438,418.05,419.75,1413719,19.95,16.95
08-05-2017,424.2,428.5,417.1,423.25,512318,11.4,0.95
09-05-2017,424,428.55,423.4,426.7,343617,5.15,-2.7
10-05-2017,428,432.9,424.4,432.05,419054,8.5,-4.05
11-05-2017,432.55,434.3,425.7,427.4,931209,8.6,5.15
12-05-2017,428,433.8,427.4,430.4,436223,6.4,-2.4
15-05-2017,433.6,433.6,430.05,431.85,364038,3.55,1.75
16-05-2017,433,439.7,432.3,437.3,377867,7.4,-4.3
17-05-2017,437.45,452,435.5,449.65,970863,16.5,-12.2
18-05-2017,442,448.8,436,438.2,489585,12.8,3.8
19-05-2017,444,445,435,442.95,334437,10,1.05
22-05-2017,443,452,442.35,448.4,586135,9.65,-5.4
23-05-2017,450.4,456.45,444.5,450.1,1072302,11.95,0.3
24-05-2017,469,472.95,459.05,469.45,1492844,13.9,-0.45
25-05-2017,470.3,478,465,475.45,1058632,13,-5.15
26-05-2017,475,487,472.85,480.75,1118826,14.15,-5.75
29-05-2017,482,484.45,472,480.4,386808,12.45,1.6
30-05-2017,482.1,486.65,479.6,481.45,289836,7.05,0.65
31-05-2017,480.5,482.7,475,476.2,401166,7.7,4.3
01-06-2017,477,479.75,473.6,476.4,302586,6.15,0.6
02-06-2017,479,485.95,477.5,478.55,375530,8.45,0.45
05-06-2017,478.2,481.4,475.4,478,206697,6,0.2
06-06-2017,482.65,484.4,457.35,460.9,702667,27.05,21.75
07-06-2017,464,464,453.6,457.95,456841,10.4,6.05
08-06-2017,458.5,463.5,457.45,460.75,378363,6.05,-2.25
09-06-2017,460.9,468,455.15,467.2,425755,12.85,-6.3
12-06-2017,467,467,455.1,456.5,321767,11.9,10.5
13-06-2017,457.1,458.55,448.1,449.6,452,10.45,7.5
14-06-2017,451,453.6,447.2,451.6,451,6.4,-0.6
15-06-2017,452.95,457.95,447,448.45,395863,10.95,4.5
16-06-2017,455.4,458.3,452.25,455.5,558674,6.05,-0.1
19-06-2017,455,456.6,450.9,452.3,345728,5.7,2.7
20-06-2017,455.5,470.6,455.5,467.15,691383,15.1,-11.65
21-06-2017,467,467,456,457.3,1317927,11,9.7
22-06-2017,460,463.2,452,452.8,317232,11.2,7.2
23-06-2017,453.1,456.55,442.4,443.1,84099998,14.15,10
27-06-2017,443.15,444.2,434.4,441.55,275699,9.8,1.6
28-06-2017,442.85,446.5,440.35,442.15,291898,6.15,0.7
29-06-2017,445.65,446.2,433.65,435.95,270474,12.55,9.7
30-06-2017,434.9,434.9,428,432.5,511744,6.9,2.4
03-07-2017,433.7,434.4,426.65,430.65,537854,7.75,3.05
04-07-2017,438,438,426.1,427.65,431813,11.9,10.35
05-07-2017,429.9,434.25,427.55,432.05,367800,6.7,-2.15
06-07-2017,435,438.8,433.85,437.1,279419,4.95,-2.1
07-07-2017,433,441.3,432.5,436.8,277875,8.8,-3.8
10-07-2017,441.7,457.5,441.7,446.75,3343876,15.8,-5.05
11-07-2017,451.25,462.25,451.25,456.95,1257434,11,-5.7
12-07-2017,462,463.8,456.9,460.95,392673,6.9,1.05
13-07-2017,464.15,465,455.55,458.4,256544,9.45,5.75
14-07-2017,459.1,460,451,451.9,202313,9,7.2
17-07-2017,453.05,458.35,453.05,454.3,181617,5.3,-1.25
18-07-2017,454,459,452.1,456.05,144805,6.9,-2.05
19-07-2017,454,462.8,453.5,460.55,224975,9.3,-6.55
20-07-2017,463,464.1,457.3,460.2,219538,6.8,2.8
21-07-2017,460,465.9,457.55,464.6,327519,8.35,-4.6
24-07-2017,461,468,461,463.6,258063,7,-2.6
25-07-2017,468,468,454.7,456.15,263910,13.3,11.85
26-07-2017,457,458.7,455,456.75,769149,3.7,0.25
27-07-2017,461,461,441.4,445.65,449480,19.6,15.35
28-07-2017,445,447.95,442.65,446.3,351205,5.3,-1.3
31-07-2017,446,449.35,443.75,444.5,240220,5.6,1.5
01-08-2017,445,452.25,445,446.9,465788,7.25,-1.9
02-08-2017,449.85,450,435,439.5,513133,15,10.35
03-08-2017,440.5,441.6,430.2,431.85,1841235,11.4,8.65
04-08-2017,431,438.85,431,435.1,1340403,7.85,-4.1
07-08-2017,439.7,440,426,430.45,412555,14,9.25
08-08-2017,432,435.35,425.9,430.4,466576,9.45,1.6
09-08-2017,428.5,430.15,415,416.75,779946,15.15,11.75
10-08-2017,399.9,404,376,380.9,2401602,28,19
11-08-2017,377.9,379.95,357.95,374.4,1122665,22,3.5
14-08-2017,380,381.85,372.6,375.65,589792,9.25,4.35
16-08-2017,380,390.1,376,389.05,727516,14.1,-9.05
17-08-2017,392,393.9,384.1,385.05,653997,9.8,6.95
18-08-2017,384,384,377.25,380.7,574271,6.75,3.3
21-08-2017,382,382.85,372.1,374.55,595249,10.75,7.45
22-08-2017,377.35,379.9,372.35,373.35,558419,7.55,4
23-08-2017,375.5,381.3,373.2,380.1,468387,8.1,-4.6
24-08-2017,382,385.6,380.5,384,464238,5.1,-2
28-08-2017,385.7,387.25,378.7,379.2,377373,8.55,6.5
29-08-2017,379.2,382.45,375,376.35,278851,7.45,2.85
30-08-2017,379.2,382.75,377.6,378.55,251767,5.15,0.65
31-08-2017,378,380.7,376,376.6,177033,4.7,1.4
01-09-2017,379,392.5,378.9,390.7,536632,13.6,-11.7
04-09-2017,393.95,396.05,381.4,384.4,648771,14.65,9.55
05-09-2017,386,388.9,383.5,387.4,340022,5.4,-1.4
06-09-2017,383.35,386.45,382.5,383.4,270015,3.95,-0.05
07-09-2017,384,384.8,376.1,378.9,654612,8.7,5.1
08-09-2017,380,381.7,374,375.05,524053,7.7,4.95
11-09-2017,380,380.8,374.3,375.4,273809,6.5,4.6
12-09-2017,378,389,375.5,387.2,576144,13.5,-9.2
13-09-2017,391.55,393.7,387.3,389.8,829294,6.4,1.75
14-09-2017,391.45,405.6,391,403.9,1398319,14.6,-12.45
15-09-2017,403.7,406.2,399.55,401.25,741795,6.65,2.45
18-09-2017,411.3,413.9,403.55,405.35,750585,10.35,5.95
19-09-2017,415,428.2,415,423.9,48383244,13.2,-8.9
20-09-2017,424.4,424.4,413.1,415.5,453886,11.3,8.9
21-09-2017,416.9,418.8,408.9,413.3,388130,9.9,3.6
22-09-2017,414.75,421.6,409.65,411.2,841436,11.95,3.55
25-09-2017,413,418.9,404.6,408.2,412851,14.3,4.8
26-09-2017,409,413.7,403.85,410.9,345628,9.85,-1.9
27-09-2017,411,414.3,401.95,403.9,330950,12.35,7.1
28-09-2017,407.4,407.4,399,401.1,256563,8.4,6.3
29-09-2017,400.3,404.05,397.95,401.25,431845,6.1,-0.95
03-10-2017,428.25,428.25,415.25,416.4,733114,13,11.85
04-10-2017,418,425,412.75,423.4,462809,12.25,-5.4
05-10-2017,425,426,420.3,423.15,353857,5.7,1.85
06-10-2017,422.9,425.9,415.8,424.2,309894,10.1,-1.3
09-10-2017,425.1,432.2,423.3,425.9,336362,8.9,-0.8
10-10-2017,424,429,422.1,423.8,246097,6.9,0.2
11-10-2017,421.15,424.9,413.4,415.25,296017,11.5,5.9
12-10-2017,415.5,421.85,409.95,420.3,423345,11.9,-4.8
13-10-2017,422,428.9,419.2,424.45,457236,9.7,-2.45
